№,Назва товару,Категорія,Готівкова ціна
328,"SYMO 3.0M","Мережеві інвертори","€1 107,00 (гот)"
329,"SYMO 3.7M","Мережеві інвертори","€1 210,00 (гот)"
330,"SYMO 4.5M","Мережеві інвертори","€1 271,00 (гот)"
331,"SYMO 5.0M","Мережеві інвертори","€1 291,00 (гот)"
332,"SYMO 6.0M","Мережеві інвертори","€1 317,00 (гот)"
333,"SYMO 7.0M","Мережеві інвертори","€1 615,00 (гот)"
334,"SYMO 8.2M","Мережеві інвертори","€1 781,00 (гот)"
335,"SYMO 10.0M","Мережеві інвертори","€1 867,00 (гот)"
336,"SYMO 12.5M","Мережеві інвертори","€2 100,00 (гот)"
337,"SYMO 15.0M","Мережеві інвертори","€2 200,00 (гот)"
338,"SYMO 17.5M","Мережеві інвертори","€2 340,00 (гот)"
339,"SYMO 20.0M","Мережеві інвертори","€2 430,00 (гот)"
340,"ТРИФАЗНІ ІНВЕРТОРИ","Мережеві інвертори","за запитом"
341,"ECO","Мережеві інвертори","за запитом"
342,"ECO 25.0M-L","Мережеві інвертори","€2 280,00 (гот)"
343,"ECO 25.0M-M","Мережеві інвертори","€2 350,00 (гот)"
344,"ECO 27.0M-L","Мережеві інвертори","€2 300,00 (гот)"
345,"ECO 27.0M-M","Мережеві інвертори","€2 360,00 (гот)"
346,"ТРИФАЗНІ ІНВЕРТОРИ","Мережеві інвертори","за запитом"
347,"SYMO HYBRID","Мережеві інвертори","за запитом"
348,"FRHY30-2","Мережеві інвертори","€1 800,00 (гот)"
349,"FRHY40-2","Мережеві інвертори","€1 992,00 (гот)"
350,"FRHY50-2","Мережеві інвертори","€2 170,00 (гот)"
351,"МЕРЕЖЕВІ ІНВЕРТОРИ ABB","Мережеві інвертори","за запитом"
352,"Однофазні інвертори","Мережеві інвертори","за запитом"
353,"PVI-3.0-TL","Мережеві інвертори","€675,00 (гот)"
354,"PVI-3.0-TLS","Мережеві інвертори","€715,00 (гот)"
355,"PVI-3.6-TL","Мережеві інвертори","€729,00 (гот)"
356,"PVI-3.6-TLS","Мережеві інвертори","€845,00 (гот)"
357,"PVI-4.2-TL","Мережеві інвертори","€870,00 (гот)"
358,"PVI-4.2-TLS","Мережеві інвертори","€910,00 (гот)"
359,"UNO DM-5.0-TL","Мережеві інвертори","€960,00 (гот)"
360,"UNO DM-5.0-TLS","Мережеві інвертори","€1 020,00 (гот)"
361,"PVI-6000-TL","Мережеві інвертори","€1 115,00 (гот)"
362,"PVI-6000-TLS","Мережеві інвертори","€1 177,00 (гот)"
363,"Трифазні інвертори","Мережеві інвертори","за запитом"
364,"TRIO-5.8-TL","Мережеві інвертори","€1 233,00 (гот)"
365,"TRIO-5.8-TLS","Мережеві інвертори","€1 280,00 (гот)"
366,"TRIO-7.5-TL","Мережеві інвертори","€1 310,00 (гот)"
367,"TRIO-7.5-TLS","Мережеві інвертори","€1 440,00 (гот)"
368,"TRIO-8.5-TL","Мережеві інвертори","€1 420,00 (гот)"
369,"TRIO-8.5-TLS","Мережеві інвертори","€1 470,00 (гот)"
370,"TRIO-10.0-TL","Мережеві інвертори","€1 200,00 (гот)"
371,"TRIO-10.0-TLS","Мережеві інвертори","€1 484,00 (гот)"
372,"TRIO-10.0-TLFS","Мережеві інвертори","€1 538,00 (гот)"
373,"TRIO-12.5-TL","Мережеві інвертори","€1 643,00 (гот)"
374,"TRIO-12.5-TLS","Мережеві інвертори","€1 694,00 (гот)"
375,"TRIO-12.5-TLFS","Мережеві інвертори","€1 708,00 (гот)"
376,"TRIO-20.0-S2","Мережеві інвертори","€2 557,00 (гот)"
377,"TRIO-20.0-S2F","Мережеві інвертори","€2 763,00 (гот)"
378,"TRIO-20.0-S2X","Мережеві інвертори","€2 900,00 (гот)"
379,"TRIO-20.0-S1J","Мережеві інвертори","€2 847,00 (гот)"
380,"TRIO-20.0-S2J","Мережеві інвертори","€2 900,00 (гот)"
381,"TRIO-27.0-S2","Мережеві інвертори","€3 010,00 (гот)"
382,"TRIO-27.0-S2F","Мережеві інвертори","€3 120,00 (гот)"
383,"TRIO-27.0-S2X","Мережеві інвертори","€3 325,00 (гот)"
384,"TRIO-27.0-S1J","Мережеві інвертори","€3 240,00 (гот)"
385,"TRIO-27.0-S2J","Мережеві інвертори","€3 307,00 (гот)"
386,"TRIO-33.0-TL","Мережеві інвертори","€3 060,00 (гот)"
387,"TRIO-33.0-TL-S","Мережеві інвертори","€3 142,00 (гот)"
388,"TRIO-33.0-TL-SX","Мережеві інвертори","€3 394,00 (гот)"
389,"ТРИФАЗНІ ІНВЕРТОРИ SMA","Мережеві інвертори","за запитом"
390,"SMA STP 5000TL-20","Мережеві інвертори","€1 426,00 (гот)"
391,"SMA STP 6000TL-20","Мережеві інвертори","€1 573,00 (гот)"
392,"SMA STP 7000TL-20","Мережеві інвертори","€1 696,00 (гот)"
393,"SMA STP 8000TL-20","Мережеві інвертори","€1 794,00 (гот)"
394,"SMA STP 9000TL-20","Мережеві інвертори","€1 930,00 (гот)"
395,"SMA STP 10000TL-20","Мережеві інвертори","€2 040,00 (гот)"
396,"SMA STP 12000TL-20","Мережеві інвертори","€2 310,00 (гот)"
397,"SMA STP 15000TL-30","Мережеві інвертори","€2 587,00 (гот)"
398,"SMA STP 15000TL-30","Мережеві інвертори","€2 700,00 (гот)"
399,"SMA STP 20000TL-30","Мережеві інвертори","€2 690,00 (гот)"
400,"SMA STP 20000TL-30","Мережеві інвертори","€2 845,00 (гот)"
401,"SMA STP 25000TL-30","Мережеві інвертори","€2 725,00 (гот)"
402,"SMA STP 25000TL-30","Мережеві інвертори","€2 880,00 (гот)"
403,"SMA CORE-1 STP 50-40","Мережеві інвертори","€5 246,85 (гот)"
404,"ОДНОФАЗНІ ІНВЕРТОРИ Solar Edge","Мережеві інвертори","за запитом"
405,"SE4K-RW","Мережеві інвертори","€1 120,00 (гот)"
406,"SE5K-RW","Мережеві інвертори","€1 130,00 (гот)"
407,"SE6K-RW","Мережеві інвертори","€1 150,00 (гот)"
408,"SE7K-RW","Мережеві інвертори","€1 240,00 (гот)"
409,"ТРИФАЗНІ ІНВЕРТОРИ Solar Edge","Мережеві інвертори","за запитом"
410,"SE4000-EUR3P","Мережеві інвертори","€1 110,00 (гот)"
411,"SE5000-EUR3P","Мережеві інвертори","€1 120,00 (гот)"
412,"SE6000-EUR3P","Мережеві інвертори","€1 180,00 (гот)"
413,"SE7000-EUR","Мережеві інвертори","€1 228,00 (гот)"
414,"SE8000-EUR","Мережеві інвертори","€1 360,00 (гот)"
415,"SE9000-EUR","Мережеві інвертори","€1 400,00 (гот)"
416,"SE10000-EUR","Мережеві інвертори","€1 460,00 (гот)"
417,"SE12500-EUR","Мережеві інвертори","€1 513,00 (гот)"
418,"SE15000-EUR","Мережеві інвертори","€1 310,00 (гот)"
419,"SE16000-EUR","Мережеві інвертори","€1 385,00 (гот)"
420,"SE17000-EUR","Мережеві інвертори","€1 335,00 (гот)"
421,"SE27600-N","Мережеві інвертори","€1 915,00 (гот)"
422,"SE33300-N","Мережеві інвертори","€2 110,00 (гот)"
423,"SE25000-P","Мережеві інвертори","€2 230,00 (гот)"
424,"SE27600-P","Мережеві інвертори","€2 270,00 (гот)"
425,"SE33300-P","Мережеві інвертори","€2 470,00 (гот)"
426,"SE25000-D","Мережеві інвертори","€2 250,00 (гот)"
427,"SE27600-D","Мережеві інвертори","€2 290,00 (гот)"
428,"SE33300-D","Мережеві інвертори","€2 490,00 (гот)"
429,"ОДНОФАЗНІ ІНВЕРТОРИ Azzurro","Мережеві інвертори","за запитом"
430,"Інвертор  Однофазний 2MPPT (Garanzia 10 Anni) IP 65","Мережеві інвертори","за запитом"
431,"ZS-3000TLDW","Мережеві інвертори","3000"
432,"ZS-3000TLM","Мережеві інвертори","€705,00 (гот)"
433,"ZS-3000TLMDW","Мережеві інвертори","€748,00 (гот)"
434,"ZS-3680TLM","Мережеві інвертори","€745,00 (гот)"
435,"ZS-3680TLMDW","Мережеві інвертори","€790,00 (гот)"
436,"ZS-4000TLM","Мережеві інвертори","€760,00 (гот)"
437,"ZS-3680TLMDW","Мережеві інвертори","€810,00 (гот)"
438,"ZS-4600TLM","Мережеві інвертори","€830,00 (гот)"
439,"ZS-4600TLMDW","Мережеві інвертори","€880,00 (гот)"
440,"ZS-5000TLM","Мережеві інвертори","€845,00 (гот)"
441,"ZS-5000TLMDW","Мережеві інвертори","€897,00 (гот)"
442,"ZS-6000TLM","Мережеві інвертори","€916,00 (гот)"
443,"ZS-6000TLMDW","Мережеві інвертори","€975,00 (гот)"
444,"ТРИФАЗНІ ІНВЕРТОРИ Azzurro","Мережеві інвертори","за запитом"
445,"Трифазний інвертор  2MPPT ( Гарантія 10 років IP 65)","Мережеві інвертори","за запитом"
446,"ZS-10.0TL-S2","Мережеві інвертори","€1 377,00 (гот)"
447,"ZS-30.0TLDW","Мережеві інвертори","€2 250,00 (гот)"
448,"ZS-40.0TL-S3","Мережеві інвертори","€2 742,00 (гот)"
449,"ZS-40.0TL-S4","Мережеві інвертори","€2 871,00 (гот)"
450,"ZS-40.0TL-S5","Мережеві інвертори","€2 959,00 (гот)"
451,"ZS-50.0TL-S3","Мережеві інвертори","€3 375,00 (гот)"
452,"ZS-50.0TL-S4","Мережеві інвертори","€3 419,00 (гот)"
453,"ZS-50.0TL-S5","Мережеві інвертори","€3 653,00 (гот)"
454,"АКБ LiFePO4","АКБ","за запитом"
455,"Ecosolex","АКБ","за запитом"
456,"660 дол","АКБ","660 дол"
457,"Deye, LV (Низьквольтові, LiFePO4)","АКБ","за запитом"
458,"760 гот / 930 з ПДВ","АКБ","760 $ (гот)"
459,"750 гот / 920 з ПДВ","АКБ","750 $ (гот)"
460,"$2 300,00","АКБ","$2 300,00"
461,"$1 450,00","АКБ","$1 450,00"
462,"$1 760,00","АКБ","$1 760,00"
463,"Deye, HV (Високовольтні, LiFePO4)","АКБ","за запитом"
464,"$660,00","АКБ","$660,00"
465,"$850,00","АКБ","$850,00"
466,"750 гот / 920 з ПДВ","АКБ","750 $ (гот)"
467,"750 гот / 920 з ПДВ","АКБ","750 $ (гот)"
468,"760 гот / 900 з ПДВ","АКБ","760 $ (гот)"
469,"$1 260,00","АКБ","$1 260,00"
470,"$1 120,00","АКБ","$1 120,00"
471,"24500 гот / 29500 з ПДВ","АКБ","24500 $ (гот)"
472,"26800 гот / 32200  з ПДВ","АКБ","26800 $ (гот)"
473,"1780/2160 з ПДВ","АКБ","1780/2160 з ПДВ"
474,"1150/1 700 з ПДВ","АКБ","1150/1 700 з ПДВ"
475,"650/800 з ПДВ","АКБ","650/800 з ПДВ"
476,"$320,00","АКБ","$320,00"
477,"340/410 з ПДВ","АКБ","340/410 з ПДВ"
478,"Акб Dyness (LiFePO4), гарантія 5 років","АКБ","за запитом"
479,"$780,00","АКБ","$780,00"
480,"$380,00","АКБ","$380,00"
481,"$950,00","АКБ","$950,00"
482,"Pylontech, LV (низьковольтові), гарантія 10 роки (LiFePO4)","АКБ","за запитом"
483,"$600,00","АКБ","$600,00"
484,"$950,00","АКБ","$950,00"
485,"$950,00","АКБ","$950,00"
486,"$960,00","АКБ","$960,00"
487,"$4 200,00","АКБ","$4 200,00"
488,"$800,00","АКБ","$800,00"
489,"$1 200,00","АКБ","$1 200,00"
490,"Pylontech, HV (високовольтові), гарантія 10 роки (LiFePO4)","АКБ","за запитом"
491,"BMS контролер акумулятора Pylontech FORCE H1","АКБ","за запитом"
492,"Акумуляторний модуль Pylontech Force H1","АКБ","3,55 кВт"
493,"$1 670,00","АКБ","$1 670,00"
494,"$990,00","АКБ","$990,00"
495,"$870,00","АКБ","$870,00"
496,"$1 316,00","АКБ","$1 316,00"
497,"$6 100,00","АКБ","$6 100,00"
498,"MBMS1000","АКБ","за запитом"
499,"Pylontech, аксесуари","АКБ","за запитом"
500,"$62,00","АКБ","$62,00"
501,"$65,00","АКБ","$65,00"
502,"$40,00","АКБ","$40,00"
503,"Axioma, гарантія 3 роки (LiFePO4)","АКБ","за запитом"
504,"$260,00","АКБ","$260,00"
505,"$480,00","АКБ","$480,00"
506,"Axioma AX-LFP-50/51.2","АКБ","50"
507,"$650,00","АКБ","$650,00"
508,"Anenji гарантія 5 років (LiFePO4) 12 В","АКБ","за запитом"
509,"$400,00","АКБ","$400,00"
510,"LogicPower гарантія 5 років (LiFePO4) 12 В","АКБ","за запитом"
511,"$292,67","АКБ","$292,67"
512,"$420,00","АКБ","$420,00"
513,"$590,00","АКБ","$590,00"
514,"$828,40","АКБ","$828,40"
515,"$1 061,00","АКБ","$1 061,00"
516,"Syl Battery, гарантія 7 років (LiFePO4)","АКБ","за запитом"
517,"$780,00","АКБ","$780,00"
518,"Solax, гарантія 10 років (Li-on)","АКБ","за запитом"
519,"$1 600,00","АКБ","$1 600,00"
520,"$1 400,00","АКБ","$1 400,00"
521,"$900,00","АКБ","$900,00"
522,"$620,00","АКБ","$620,00"
523,"LogicPower, гарантія 2 роки (AGM)","АКБ","за запитом"
524,"$46,87","АКБ","$46,87"
525,"$52,20","АКБ","$52,20"
526,"$64,97","АКБ","$64,97"
527,"$94,72","АКБ","$94,72"
528,"$89,00","АКБ","$89,00"
529,"$123,71","АКБ","$123,71"
530,"$131,40","АКБ","$131,40"
531,"$135,00","АКБ","$135,00"
532,"$154,86","АКБ","$154,86"
533,"$190,00","АКБ","$190,00"
534,"$230,00","АКБ","$230,00"
535,"$285,00","АКБ","$285,00"
536,"$335,53","АКБ","$335,53"
537,"$405,84","АКБ","$405,84"
538,"LogicPower, гарантія 2 роки (GEL)","АКБ","за запитом"
539,"$56,30","АКБ","$56,30"
540,"$103,55","АКБ","$103,55"
541,"$109,80","АКБ","$109,80"
542,"$176,30","АКБ","$176,30"
543,"$171,00","АКБ","$171,00"
544,"$200,00","АКБ","$200,00"
545,"$230,40","АКБ","$230,40"
546,"$273,60","АКБ","$273,60"
547,"$390,00","АКБ","$390,00"
548,"$560,00","АКБ","$560,00"
549,"Toyama, гарантія 1 рік (GEL)","АКБ","за запитом"
550,"$120,00","АКБ","$120,00"
551,"$130,00","АКБ","$130,00"
552,"$175,00","АКБ","$175,00"
553,"$210,00","АКБ","$210,00"
554,"$300,00","АКБ","$300,00"
555,"$330,00","АКБ","$330,00"
556,"$540,00","АКБ","$540,00"
